order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600376.XSHG,MainBoard,RealEstate,0,2017-01-03,-0.2357583110969885,-1.4113417252771532,2.269982971845359,-1.2732956159209063,-1.0250955188005946,-0.8660961742876675,-0.6522294317327221,-0.17615753412187907,1.93939312529892,-0.3432284734469982,3.077249792698528,2.097062966214428,2.5048299875719993,0.38653971715078106,0.3431559457182446,-0.47716258275359347,-1.1103364732764247
600376.XSHG,MainBoard,RealEstate,1,2017-01-04,-0.2126657895249287,-1.4191611882287574,2.3123943005085414,-1.2807326866143471,-0.923666345006804,-0.8934915227399287,-0.29017734288037217,0.563332395323619,1.93939312529892,-0.12386533101289696,3.058392863188219,2.052507713034568,2.4966835218350822,0.32845370643641897,0.3393106297579881,-0.6231901471650257,-1.0591162929760602
600376.XSHG,MainBoard,RealEstate,2,2017-01-05,-0.012846672314231823,-1.4157005104383245,2.2935448211026817,-1.2774412450493757,-0.8528750543028866,-0.9000330919886104,-0.07059897215071241,0.20507650160770147,1.2676103020883274,-0.12940625075225815,2.8453996869219957,2.0090229731435696,2.478313607458772,0.14096898008867256,0.34294254151271564,-0.6614802238483684,-0.9983777500202015
600376.XSHG,MainBoard,RealEstate,3,2017-01-06,0.008439052862158238,-1.4174337599120024,2.3029695608056113,-1.2790897340753982,-0.7745020491590167,-0.8882450002254553,0.12240170954320787,0.10234135561564102,1.93939312529892,-0.032727063070420795,2.6580627773592735,1.9818845730270387,2.455539618408716,-0.015838266871333207,0.34294254151271564,-0.5419006921257428,-0.9715924520288203
600376.XSHG,MainBoard,RealEstate,4,2017-01-09,-0.0546134336352142,-1.420022728609891,2.317106670360006,-1.281552095409989,-0.6856833521419842,-0.8595245548679378,0.3006896628252966,0.8181190121177201,1.93939312529892,0.09341163711600373,2.0057959680768693,1.9726911418341202,2.4196430787253456,-0.3425370437608281,0.3406272361428081,-1.34519153362628,-1.5704403068162185
600376.XSHG,MainBoard,RealEstate,5,2017-01-10,0.02946058929664531,-1.4174337599120024,2.3029695608056113,-1.2790897340753982,-0.622085373941362,-0.8227357599106595,0.38564480404961227,0.4941279293141879,1.2676103020883274,0.07789038765061329,1.7526619074829008,1.9516281913753877,2.408755030953519,-0.48465060294089307,0.32811276577731957,-1.0796414708171904,-1.4185519539371567
600376.XSHG,MainBoard,RealEstate,6,2017-01-11,0.23334247062885533,-1.396241995531693,2.1898726843704552,-1.258934302584703,-0.6923456698206883,-0.8085641125588658,0.14749920842487735,-0.5153699652227123,1.2676103020883274,-0.31833694471700436,1.5282202827076297,1.9496159003567046,2.405719474628322,-0.6535388147794706,0.3409101104126983,-0.9617680208046033,-1.218426095309803
600376.XSHG,MainBoard,RealEstate,7,2017-01-12,0.42107627164298705,-1.3816223217004273,2.1144747667470174,-1.2450295691687259,-0.823490009184406,-0.8257091921452678,-0.18224811439348668,-0.46470328135353856,0.5958274788777361,-0.5583225837406351,1.3780200203740494,1.9483351588572786,2.4012353895369625,-0.6732678988918458,0.36640574245420265,-1.0356595214126485,-1.2259783339541919
600376.XSHG,MainBoard,RealEstate,8,2017-01-13,0.366962089320309,-1.3806950612467346,2.109762396895553,-1.244147654184535,-0.9198598029639774,-0.8603552065639627,-0.36652285069632823,-0.7068738354177355,-0.07595534433285579,-0.5181185123867037,0.8996266903174829,1.9502314137073569,2.404398815551809,-0.6420111275893442,0.39823552325438466,-1.1970750709089217,-1.3391927009253581
600376.XSHG,MainBoard,RealEstate,9,2017-01-16,0.4588437255468746,-1.3971424031877901,2.19458505422192,-1.2597906779435664,-0.8853101435939278,-0.8805683854332139,-0.2145535133803898,-0.37328432027354197,-0.07595534433285579,-0.11918092790500429,0.7045189438188925,1.9163008415606375,2.4243974877685877,-0.7685481000120172,0.4061978447066806,-0.9538226554842371,-1.2617293593488452
