order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600085.XSHG,MainBoard,HealthCare,0,2017-01-03,-0.6321047379643459,-0.6447173277794982,1.2774817283899924,-1.1805878981644635,-0.6691989372379674,-0.6558544324878268,-0.1811102066329195,-0.12931514380147224,1.2001467633004455,-0.12165249953520531,0.3280085512533276,-0.14712893037845293,-0.2379746705676429,-0.7921629447340828,-0.4367625001964227,-0.2810971179637935,-0.8459177147277339
600085.XSHG,MainBoard,HealthCare,1,2017-01-04,-0.6944994009979133,-0.6814036087883758,1.3174546499984139,-1.2180188322880696,-0.5904628446382622,-0.651210991896713,0.028168931833720795,0.3721636623967878,1.2001467633004455,0.044904220736562896,0.3210480978685424,-0.13284135718943796,-0.24862850940655562,-0.8456419081010164,-0.4399477091903834,-0.24490084405407184,-1.0307864192722824
600085.XSHG,MainBoard,HealthCare,2,2017-01-05,-0.5495374421948932,-0.6344519303467561,1.2663781390543214,-1.170114135098514,-0.5579013002998017,-0.6404860859090911,0.09171631501511152,0.03779580878787981,0.42472726363554786,-0.09546638441503422,0.2979544522888475,-0.12900518258240584,-0.2727485470780771,-0.9485760925220276,-0.4423328015133139,-0.7803354515385066,-1.2931587105785456
600085.XSHG,MainBoard,HealthCare,3,2017-01-06,-0.36320879033196835,-0.5700683101080847,1.197535885173152,-1.1044236649413073,-0.5742723921399643,-0.6354306762281074,0.032473614392165576,-0.41397562577876507,-0.35069223602935073,-0.2991564288749801,0.16918087209308483,-0.12712028942942988,-0.29447058948810556,-0.9926916360609414,-0.441811448284365,-0.9259311094320597,-1.249276935863304
600085.XSHG,MainBoard,HealthCare,4,2017-01-09,-0.2786301158948367,-0.58053960828757,1.2086394745088251,-1.1151075080991972,-0.5730623143629247,-0.6311258374467322,0.02463069336418323,-0.37910204135607967,0.42472726363554786,-0.20822492681078192,0.09779483763703953,-0.12359462074175785,-0.3037578050183153,-1.165250714775245,-0.4464050245232789,-1.1265439674977238,-1.4211916226160806
600085.XSHG,MainBoard,HealthCare,5,2017-01-10,-0.19949816831890999,-0.5405683926608069,1.1664458350332687,-1.0743249622040731,-0.5952463696082022,-0.6324579563654072,-0.03427190617362024,-0.274056913760751,-0.35069223602935073,-0.33723580451410656,0.019711551581737298,-0.1209145982688127,-0.30932802238212376,-1.1367468057657488,-0.4494943526340695,-1.3974598613992044,-1.6353306537872199
600085.XSHG,MainBoard,HealthCare,6,2017-01-11,-0.2362689356640847,-0.4872196722248135,1.1109278883549079,-1.0198933767365967,-0.6447950376807773,-0.6441909369088028,-0.14295440111371574,-0.6124403903172484,-0.35069223602935073,-0.5063085096976183,-0.08077340591057282,-0.11992102756123599,-0.31544050596892914,-1.070702006523056,-0.4419474874405674,-1.174558795457811,-1.1862667221425012
600085.XSHG,MainBoard,HealthCare,7,2017-01-12,0.19481835835608607,-0.2877402886516715,0.9110632803128055,-0.8163649879163634,-0.8158460458795943,-0.6904027385735363,-0.5032363910738015,-1.0152021341352508,-0.35069223602935073,-1.1529745769577306,-0.11202608084347429,-0.10173551105397488,-0.3220841855814254,-0.8074020445752246,-0.40092452583289717,-1.3387352637302097,-1.2448744116804604
600085.XSHG,MainBoard,HealthCare,8,2017-01-13,0.08294515938135827,-0.31503207799000477,0.9377118947184193,-0.8442107422622618,-0.9222341546157474,-0.7502763857035565,-0.6459940099699149,-0.620099469678498,-0.35069223602935073,-0.998917489077175,-0.17569710241882602,-0.09645149554201884,-0.3284612674849376,-0.6600727305385106,-0.3672351990318123,-1.4640479692031316,-1.2893595613838758
600085.XSHG,MainBoard,HealthCare,9,2017-01-16,0.24304433955522026,-0.3398576229671135,0.9621397912568979,-0.8695401927561924,-0.9782961621933957,-0.8102448465155148,-0.6469847071929206,-1.5285153231089066,-0.35069223602935073,-0.8579006966389192,-0.2474268155362306,-0.07919413474204136,-0.3251442793174146,-0.5693360800344247,-0.34148186186737733,-1.381981908249899,-1.235540252751915
600085.XSHG,MainBoard,HealthCare,10,2017-01-17,0.219233978358483,-0.35779844504333735,0.9799055341939739,-0.8878451751853609,-0.998934358438855,-0.8626628079582916,-0.5680865615567068,-1.4242178640310117,-0.35069223602935073,-0.7360224015580503,-0.3851353091236939,-0.09703326814228175,-0.3319829015501429,-0.5270217410601252,-0.31356852595205054,-1.4855688565689686,-1.3758823536010565
600085.XSHG,MainBoard,HealthCare,11,2017-01-18,0.2731046622334171,-0.3778680661569843,0.9998919949981828,-0.9083221667236627,-0.9900355396228226,-0.902681358591104,-0.43852052387289275,-1.5826783812566576,0.42472726363554786,-0.6192477206769295,-0.4486016462994929,-0.11950847435626255,-0.3338906318891053,-0.4924533402742503,-0.28966533706311404,-1.1777453634456927,-1.0786623103780304
600085.XSHG,MainBoard,HealthCare,12,2017-01-19,0.30196511753857885,-0.3533221979906966,0.9754640984597043,-0.8832780698822099,-0.989058906884113,-0.9344859517629314,-0.3526896966579453,-1.527300343562513,0.42472726363554786,-0.6563311206707805,-0.473193008724718,-0.1320305516975236,-0.3370488037152488,-0.4610262569728183,-0.26263051428968254,-1.1601955707621705,-1.0267313347035012
600085.XSHG,MainBoard,HealthCare,13,2017-01-20,0.13519660436559577,-0.40223547791227965,1.0243198915366636,-0.9331841848703004,-0.9432124365912966,-0.9500593789410738,-0.18308425543397894,-0.9336548420192619,0.42472726363554786,-0.4305291467920323,-0.48976501405308387,-0.13730034093988483,-0.3422103401131235,-0.4761024469377988,-0.24296958398530377,-1.1033640709356693,-0.9921534861883182
